Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
East Asia,CHN,China,2016,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,8254.86859320357,8175.33285077393,0.97%,5.99%
East Asia,CHN,China,2016,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.56,4.65,-1.94%,7.20%
East Asia,CHN,China,2016,SP.POP.TOTL,Total Population,Population,Population,People,1387790000,1379860000,0.57%,38.25%
East Asia,CHN,China,2017,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.59313600071435,2.00000182191943,-20.34%,3.38%
East Asia,CHN,China,2017,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,19.3356301657728,19.2036507365412,0.69%,5.23%
East Asia,CHN,China,2017,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.32839239286042,7.90065017505416,-7.24%,5.95%
East Asia,CHN,China,2017,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,12537559062282.9,11456024084962,9.44%,59.71%
East Asia,CHN,China,2017,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,8979.67652709856,8254.86859320357,8.78%,6.19%
East Asia,CHN,China,2017,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.47,4.56,-1.97%,6.93%
East Asia,CHN,China,2017,SP.POP.TOTL,Total Population,Population,Population,People,1396215000,1387790000,0.61%,38.12%
East Asia,CHN,China,2018,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2.07479039965576,1.59313600071435,30.23%,4.10%
East Asia,CHN,China,2018,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,18.770519802938,19.3356301657728,-2.92%,4.99%
East Asia,CHN,China,2018,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.91714289236836,7.32839239286042,-5.61%,5.86%
East Asia,CHN,China,2018,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,14147765772963.8,12537559062282.9,12.84%,61.52%
East Asia,CHN,China,2018,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10085.6638148819,8979.67652709856,12.32%,6.41%
East Asia,CHN,China,2018,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.31,4.47,-3.58%,6.52%
East Asia,CHN,China,2018,SP.POP.TOTL,Total Population,Population,Population,People,1402760000,1396215000,0.47%,37.98%
East Asia,CHN,China,2019,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2.89923416358226,2.07479039965576,39.74%,6.04%
East Asia,CHN,China,2019,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,18.0557069597496,18.770519802938,-3.81%,4.90%
East Asia,CHN,China,2019,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.00621575788341,6.91714289236836,1.29%,6.01%
East Asia,CHN,China,2019,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,14560167101283.4,14147765772963.8,2.91%,61.89%
East Asia,CHN,China,2019,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10342.9009524335,10085.6638148819,2.55%,6.68%
East Asia,CHN,China,2019,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.56,4.31,5.80%,6.71%
East Asia,CHN,China,2019,SP.POP.TOTL,Total Population,Population,Population,People,1407745000,1402760000,0.36%,37.82%
East Asia,CHN,China,2020,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2.41942189457782,2.89923416358226,-16.55%,4.78%
East Asia,CHN,China,2020,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,18.2035821684822,18.0557069597496,0.82%,5.31%
East Asia,CHN,China,2020,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.54018198521241,7.00621575788341,7.62%,6.04%
East Asia,CHN,China,2020,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,14996414166715.1,14560167101283.4,3.00%,63.92%
